2022-11-19 14:44:12.631[1668869052631] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668869052631&signature=5b656a5d6f180e991ae4e8cd0033e7578302f6ff79a9dbc2e53b0f531124c83a
2022-11-19 14:44:13.007[1668869053007] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/deposit/address?coin=NEO&timestamp=1668869053006&signature=ed311f014ac386e1bf040f9cbcf2344fbd42a2688b57fcdf235a32e80fbec1b4
2022-11-19 14:44:13.389[1668869053389] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/deposit/address?coin=NEO&network=ETH&timestamp=1668869053389&signature=b2ba32ad10d340f607d733d1cbbb019171560b21b724d51318d0487ba692fa3f
2022-11-19 14:44:13.697[1668869053697] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/deposit/address?coin=NEO&network=BNB&timestamp=1668869053697&signature=a0752553b19447374034826eb2461fcb3dfc1c5f783ab4df93f5ca961ce9e86c
2022-11-19 14:44:14.013[1668869054013] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/deposit/address?coin=NEO&network=TRX&timestamp=1668869054012&signature=760c356eca962bb2b5bd2c6d7693731eb2f65176cdc675d309268d5a5376b482
2022-11-19 14:44:59.362[1668869099362] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668869099359&signature=79335f9b07398ff15cf43d41f1edaf1a42cf7a5731bbb3d7f5609549cb0c9f31
2022-11-19 14:45:00.002[1668869100002] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/config/getall?timestamp=1668869100001&signature=2358d9b6983933b0e8654f1a3a0fcffb858ab79e9924333c09948fe50c46627d
2022-11-19 14:45:01.164[1668869101164] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668869101164&signature=5c7a9318507d171e34555debd149c0fa6164f4d82db719e8d8fa8d5b1833de59
2022-11-19 14:45:01.532[1668869101532] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/deposit/address?coin=NEO&timestamp=1668869101532&signature=b0bc409cceaea647c98882074f68ef140c2b02b6bc6eaf328b6ba7585b9a1c79
2022-11-19 14:45:02.542[1668869102542] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/deposit/address?coin=NEO&network=ETH&timestamp=1668869102542&signature=311ca6cfa331201de8d1d30123c110c2e8e1a00bee1906a7a89d96fac6271a76
2022-11-19 14:45:02.857[1668869102857] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/deposit/address?coin=NEO&network=BNB&timestamp=1668869102857&signature=3b24c8f53ea2ae06eab1eebd40ebbe44245a509e92047b878cba0d0de6625660
2022-11-19 14:45:03.873[1668869103873] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/deposit/address?coin=NEO&network=TRX&timestamp=1668869103873&signature=efdb50a0fd968849f4898620a4b1c30990df38643fe8eb724e5c9b5874a2c8ad
2022-11-19 14:46:07.157[1668869167157] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668869167153&signature=4715bfde403cc6b9378c11ac2281518bdc3737612b8d15f9145250483f9d90c9
2022-11-19 14:46:07.935[1668869167935] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/config/getall?timestamp=1668869167935&signature=ca3da26f68859975f2b5b6103cd0a8d95adad341294fbe4cc05911db52402bbb
2022-11-19 14:46:09.095[1668869169095] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668869169095&signature=b5114769a806dfeaeac167f88618c7f96322e70a27a0ef6dfbf6e515abe8dbda
2022-11-19 14:46:09.530[1668869169530] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/deposit/address?coin=NEO&timestamp=1668869169529&signature=9185817b7e880c8287e0cc29478b6e8d48ac4605081468422ee200febb529d0f
